shrid2,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
11-01-001-00001-800001,127354.25,21508.24609375,0.15272165834903717,0.20418350398540497,0.0,0.0,1.0,1.0
11-01-001-00002-800002,123583.109375,19900.716796875,0.16842202842235565,0.22145232558250427,0.0,0.0,1.0,1.0
11-01-002-00005-800016,102612.7265625,16936.912109375,0.21918721497058868,0.31728848814964294,0.0,0.0,1.0,1.0
11-01-002-00005-800017,107731.875,14269.0087890625,0.39894551038742065,0.5483304262161255,0.0,0.0,1.0,1.0
11-01-002-00006-800018,107600.5390625,16492.419921875,0.25592195987701416,0.3455643355846405,0.0,0.0,1.0,1.0
11-01-002-00007-800019,110114.8515625,18751.953125,0.11907810717821121,0.13060179352760315,0.0,0.0,1.0,1.0
11-01-002-00008-800020,136415.578125,18195.111328125,0.07369158416986465,0.13390512764453888,0.0,0.0,1.0,1.0
11-01-003-00010-800047,135339.078125,31301.958984375,0.04178773984313011,0.05756191909313202,0.0,0.0,1.0,1.0
11-01-004-00013-800048,126217.125,23673.03515625,0.14537736773490906,0.18716010451316833,0.0,0.0,1.0,1.0
11-01-005-00016-800062,129030.9375,28370.287109375,0.06758511811494827,0.0838203951716423,0.0,0.0,1.0,1.0
11-01-006-00020-800064,113766.7578125,24605.248046875,0.06081390008330345,0.08641975373029709,0.0,0.0,1.0,1.0
11-01-006-00022-800065,151124.1875,29881.0859375,0.030735090374946594,0.040110956877470016,0.0,0.0,1.0,1.0
11-01-006-00025-800066,145399.703125,31936.94140625,0.053057555109262466,0.06115107983350754,0.0,0.0,1.0,1.0
11-01-006-00026-800067,155241.875,34002.84375,0.012655147351324558,0.020442930981516838,0.0,0.0,1.0,1.0
11-01-007-00027-800081,107700.359375,20054.07421875,0.21398913860321045,0.2516767680644989,0.0,0.0,1.0,1.0
11-01-007-00028-800082,131027.734375,27773.822265625,0.10734463483095169,0.12973424792289734,0.0,0.0,1.0,1.0
11-01-007-00030-800083,141924.765625,31263.93359375,0.05546751245856285,0.07606972754001617,0.0,0.0,1.0,1.0
11-01-007-00030-800084,149905.21875,30731.310546875,0.04835912585258484,0.061112940311431885,0.0,0.0,1.0,1.0
11-01-007-00030-800085,99504.078125,20015.525390625,0.19937925040721893,0.24549216032028198,0.0,0.0,1.0,1.0
11-01-007-00031-800086,138250.625,29489.1328125,0.03594222292304039,0.04417198523879051,0.0,0.0,1.0,1.0
11-01-008-00032-800003,135053.375,23484.220703125,0.08768373727798462,0.12098968029022217,0.0,0.0,1.0,1.0
11-01-008-00033-800004,112808.7734375,17373.62890625,0.17914675176143646,0.24800850450992584,0.0,0.0,1.0,1.0
11-01-008-00034-800005,135103.265625,20540.251953125,0.113591268658638,0.15889550745487213,0.0,0.0,1.0,1.0
11-01-008-00035-800006,134696.5,24111.4921875,0.08617835491895676,0.12165415287017822,0.0,0.0,1.0,1.0
